contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
RAKUSIN & BECKER,RAKUSIN & BECKER,RAKUSIN & BECKER,1,1,25
RANDI CHASEN,RANDI CHASEN,RANDI CHASEN,1,1,3300
RAPIDSCALE,RAPIDSCALE,RAPIDSCALE,1,1,1000
RAQUINMERCER LLC,RAQUINMERCER LLC,RAQUINMERCER LLC,1,1,250
RAYMOND C. BROPHY,RAYMOND C. BROPHY,RAYMOND C. BROPHY,1,1,2000
RAYMOND C. BROPHY INC.,RAYMOND C. BROPHY,RAYMOND C. BROPHY,1,1,2000
RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL INC,RAYMOND JAMES FINANCIAL INC,1,1,100
RAYTHEON,RAYTHEON,RAYTHEON,1,1,250
RAYTHEON COMPANY,RAYTHEON COMPANY,RAYTHEON COMPANY,1,1,550
RAYTHEON CORP,RAYTHEON CORP,RAYTHEON CORP,1,1,250
RBC WEALTH MANAGEMENT,RBC WEALTH MANAGEMENT,RBC WEALTH MANAGEMENT,1,1,250
RBCI.COM,RBCI.COM,RBCI.COM,1,1,100
RBW GROUP,RBW GROUP,RBW GROUP,1,1,500
RCKRBX,RCKRBX,RCKRBX,1,1,3300
RCSC,RCSC,RCSC,1,1,250
RCT SYSTEMS,RCT SYSTEMS,RCT SYSTEMS,1,1,25
RE/MAX ADVANTAGE REALTY,RE/MAX ADVANTAGE REALTY,RE/MAX ADVANTAGE REALTY,1,1,500
RE/MAX EXCELLENCE REALTY,RE/MAX EXCELLENCE REALTY,RE/MAX EXCELLENCE REALTY,1,1,500
RE/MAX SKY REAL ESTATE,RE/MAX SKY REAL ESTATE,RE/MAX SKY REAL ESTATE,1,1,500
REACH BEYOND SOLUTIONS,REACH BEYOND SOLUTIONS,REACH BEYOND SOLUTIONS,1,1,1300
REAGAN FOUNDATION,REAGAN FOUNDATION,REAGAN FOUNDATION,1,1,2500
REAL ESTATE DEV,REAL ESTATE DEV,REAL ESTATE DEV,1,1,35
REAL POWER AME CHURCH,REAL POWER AME CHURCH,REAL POWER AME CHURCH,1,1,50
REALTERM INVESTCO LLC,REALTERM INVESTCO LLC,REALTERM INVESTCO LLC,1,1,6600
REB STRATEGIES LLC,REB STRATEGIES LLC,REB STRATEGIES LLC,1,1,50
REBELLION DEFENSE,REBELLION DEFENSE,REBELLION DEFENSE,1,1,500
RECORDING INDUSTRY ASSN OF AMERICA,RECORDING INDUSTRY ASSN OF AMERICA,RECORDING INDUSTRY ASSN OF AMERICA,1,1,1000
RED MAVERICK MEDIA,RED MAVERICK MEDIA,RED MAVERICK MEDIA,1,1,4
RED OCTOBER PRODUCTIONS,RED OCTOBER PRODUCTIONS,RED OCTOBER PRODUCTIONS,1,1,3300
RED SUN CUSTOM APPAREL,RED SUN CUSTOM APPAREL,RED SUN CUSTOM APPAREL,1,1,1000
RED TRAIL HOLDINGS LLC,RED TRAIL HOLDINGS LLC,RED TRAIL HOLDINGS LLC,1,1,6600
REDBRICK LMD,REDBRICK LMD,REDBRICK LMD,1,1,3300
REDOX ENERGY,REDOX ENERGY,REDOX ENERGY,1,1,3300
REDOX POWER SYSTEMS,REDOX POWER SYSTEMS,REDOX POWER SYSTEMS,1,1,1000
REFUGEES INTERNATIONAL,REFUGEES INTERNATIONAL,REFUGEES INTERNATIONAL,1,1,350
REGAL DOMESTICS,REGAL DOMESTICS,REGAL DOMESTICS,1,1,225
REGAN ASSOCIATES,REGAN ASSOCIATES,REGAN ASSOCIATES,1,1,1000
"REGAN, HALPERIN & LONG","REGAN, HALPERIN & LONG","REGAN, HALPERIN & LONG",1,1,4150
REGENT HEALTHCARE HOLDINGS INC,REGENT HEALTHCARE HOLDINGS INC,REGENT HEALTHCARE HOLDINGS INC,1,1,2500
REGIONAL MANAGMENT INC.,REGIONAL MANAGMENT INC.,REGIONAL MANAGMENT INC.,1,1,212.18
REISMAN GREENE THEIS LLP,REISMAN GREENE THEIS LLP,REISMAN GREENE THEIS LLP,1,1,500
REITRED,REITRED,RETIRED,1,1,75
RELI GROUP INC,RELI GROUP INC,RELI GROUP INC,1,1,146.2
RELIABILT CONSTRUCTION,RELIABILT CONSTRUCTION,RELIABILT CONSTRUCTION,1,1,428.5
RELIABLE COMPANIES,RELIABLE COMPANIES,RELIABLE COMPANIES,1,1,1050
RELIABLE CONTRACTING CO INC.,RELIABLE CONTRACTING CO INC.,RELIABLE CONTRACTING CO INC.,1,1,1250
RELIABLE CONTRACTING CO. INC.,RELIABLE CONTRACTING CO INC.,RELIABLE CONTRACTING CO INC.,1,1,1000
RELIABLE CONTRACTING COMPANY INC.,RELIABLE CONTRACTING CO INC.,RELIABLE CONTRACTING CO INC.,1,1,3300
RELIABLE REAL ESTATE SERVICES,RELIABLE REAL ESTATE SERVICES,RELIABLE REAL ESTATE SERVICES,1,1,1000
RELMAN COLFAX,RELMAN COLFAX,RELMAN COLFAX,1,1,50
RELMAN COLFAX PLLC,RELMAN COLFAX,RELMAN COLFAX,1,1,275
REMAX EXECUTIVE,REMAX EXECUTIVE,REMAX EXECUTIVE,1,1,604.1
REMAX UNITED,REMAX UNITED,REMAX UNITED,1,1,3300
RENAISSANCE TECHNOLOGIES,RENAISSANCE TECHNOLOGIES,RENAISSANCE TECHNOLOGIES,1,1,3300
RENOXX CAREGIVERS,RENOXX CAREGIVERS,RENOXX CAREGIVERS,1,1,2000
REPLOGLE CONSULTING,REPLOGLE CONSULTING,REPLOGLE CONSULTING,1,1,810
REPORTSEE INC,REPORTSEE INC,REPORTSEE INC,1,1,50
REPRESENT WOMEN,REPRESENT WOMEN,REPRESENT WOMEN,1,1,500
REPS & ASSOCIATES,REPS & ASSOCIATES,REPS & ASSOCIATES,1,1,250
REPUBLICAN JEWISH COALITION,REPUBLICAN JEWISH COALITION,REPUBLICAN JEWISH COALITION,1,1,150
RETINA GROUP OF WASHINGTON,RETINA GROUP OF WASHINGTON,RETINA GROUP OF WASHINGTON,1,1,500
RETIRED - FACULTY AT TOWSON UNIVERSITY,RETIRED - FACULTY AT TOWSON UNIVERSITY,RETIRED - FACULTY AT TOWSON UNIVERSITY,1,1,150
RETIRED CPA EXEC,RETIRED CPA EXEC,RETIRED CPA EXEC,1,1,250
RETIRED TEACHER,RETIRED TEACHER,RETIRED TEACHER,1,1,50
RETIRED USUHS/DOD,RETIRED USUHS/DOD,RETIRED USUHS/DOD,1,1,124
RETIRED WOMEN OB/GYN,RETIRED WOMEN OB/GYN,RETIRED WOMEN OB/GYN,1,1,250
REW GROUP,REW GROUP,REW GROUP,1,1,770.51
RICHARD B. RUDY INC.,RICHARD B. RUDY INC.,RICHARD B. RUDY INC.,1,1,1041.02
RICHARD I. SMITH,RICHARD I. SMITH,RICHARD I. SMITH,1,1,2000
"RICHARD J. LEIDL, P.C.","RICHARD J. LEIDL, P.C.","RICHARD J. LEIDL, P.C.",1,1,2000
RICHARD SELIGMAN,RICHARD SELIGMAN,RICHARD SELIGMAN,1,1,425
RICHCROFT INC,RICHCROFT INC,RICHCROFT INC,1,1,1000
RICK EDSON,RICK EDSON,RICK EDSON,1,1,1250
RIDER JET CENTER,RIDER JET CENTER,RIDER JET CENTER,1,1,3300
RILEYTRADE LAW PLLC,RILEYTRADE LAW PLLC,RILEYTRADE LAW PLLC,1,1,250
RISE INVESTMENT PARTNERS,RISE INVESTMENT PARTNERS,RISE INVESTMENT PARTNERS,1,1,1000
"RISE INVESTMENT PARTNERS, LLC",RISE INVESTMENT PARTNERS,RISE INVESTMENT PARTNERS,1,1,-3000
RISING FOR JUSTICE,RISING FOR JUSTICE,RISING FOR JUSTICE,1,1,500
RISMILLER LAW GROUP,RISMILLER LAW GROUP,RISMILLER LAW GROUP,1,1,50
RITE AID,RITE AID,RITE AID,1,1,780.5
RIVENDELL GROUP LLP,RIVENDELL GROUP LLP,RIVENDELL GROUP LLP,1,1,1500
RIVERBED TECHNOLOGY,RIVERBED TECHNOLOGY,RIVERBED TECHNOLOGY,1,1,370.94
RIVERDALE PROJECT CONSULTING,RIVERDALE PROJECT CONSULTING,RIVERDALE PROJECT CONSULTING,1,1,2000
RIVERDALE PROJECT CONSULTING LLC,RIVERDALE PROJECT CONSULTING,RIVERDALE PROJECT CONSULTING,1,1,500
RIVERSIDE ENTERPRISES LLC,RIVERSIDE ENTERPRISES LLC,RIVERSIDE ENTERPRISES LLC,1,1,1000
RJI CAPITAL,RJI CAPITAL,RJI CAPITAL,1,1,1000
RLAH REAL ESTATE,RLAH REAL ESTATE,RLAH REAL ESTATE,1,1,1000
RLJ DEVELOPMENT LLC,RLJ DEVELOPMENT LLC,RLJ DEVELOPMENT LLC,1,1,3300
RLJ LODGING TRUST,RLJ LODGING TRUST,RLJ LODGING TRUST,1,1,1000
RMA WORLDWIDE CHAUFFEURED TRANSPORTATI,RMA WORLDWIDE CHAUFFEURED TRANSPORTATI,RMA WORLDWIDE CHAUFFEURED TRANSPORTATI,1,1,250
RNG COALITION,RNG COALITION,RNG COALITION,1,1,3300
ROBBINS RUSSELL ENGLERT ORSECK & UNTER,ROBBINS RUSSELL ENGLERT ORSECK & UNTER,ROBBINS RUSSELL ENGLERT ORSECK & UNTER,1,1,250
ROBERT A. ROMBRO P.A.,ROBERT A. ROMBRO P.A.,ROBERT A. ROMBRO P.A.,1,1,500
ROBERT HERMAN MD,ROBERT HERMAN MD,ROBERT HERMAN MD,1,1,178.77
ROBERT W DEUTSCH FOUNDATION,ROBERT W DEUTSCH FOUNDATION,ROBERT W DEUTSCH FOUNDATION,1,1,3000
ROBERTA JACOBSON,ROBERTA JACOBSON,ROBERTA JACOBSON,1,1,1250
ROBERTS LAW GROUP PLLC,ROBERTS LAW GROUP PLLC,ROBERTS LAW GROUP PLLC,1,1,2500
ROBINHOOD MARKETS,ROBINHOOD MARKETS,ROBINHOOD MARKETS,1,1,6600
ROBINSON & ASSOCIATES INC.,ROBINSON & ASSOCIATES INC.,ROBINSON & ASSOCIATES INC.,1,1,275
ROBLOX,ROBLOX,ROBLOX,1,1,1000
ROCK CREEK GLOBAL ADVISORS,ROCK CREEK GLOBAL ADVISORS,ROCK CREEK GLOBAL ADVISORS,1,1,700
ROCK CREEK PROPERTY GROUP,ROCK CREEK PROPERTY GROUP,ROCK CREEK PROPERTY GROUP,1,1,1000
ROCK CREEK STRATEGIES,ROCK CREEK STRATEGIES,ROCK CREEK STRATEGIES,1,1,25
ROCKEFELLER FAMILY FUND,ROCKEFELLER FAMILY FUND,ROCKEFELLER FAMILY FUND,1,1,350
ROCKHOLD CREEK MARINA,ROCKHOLD CREEK MARINA,ROCKHOLD CREEK MARINA,1,1,1000
ROCKVILLE INTERNAL MEDICINE GROUP,ROCKVILLE INTERNAL MEDICINE GROUP,ROCKVILLE INTERNAL MEDICINE GROUP,1,1,250
ROCKVILLE METALS,ROCKVILLE METALS,ROCKVILLE METALS,1,1,1500
ROCKWOOD COMPANY,ROCKWOOD COMPANY,ROCKWOOD COMPANY,1,1,325
RODNEY L. ELLIS MD PC,RODNEY L. ELLIS MD PC,RODNEY L. ELLIS MD PC,1,1,500
ROHDE & SCHWARZ,ROHDE & SCHWARZ,ROHDE & SCHWARZ,1,1,90
ROLKA LOUBE,ROLKA LOUBE,ROLKA LOUBE,1,1,936
ROLLKA LOUBE ASSOCIATES,ROLLKA LOUBE ASSOCIATES,ROLLKA LOUBE ASSOCIATES,1,1,1413
ROOT ADVISORS,ROOT ADVISORS,ROOT ADVISORS,1,1,1000
ROOT BRANCH MEDIA GROUP,ROOT BRANCH MEDIA GROUP,ROOT BRANCH MEDIA GROUP,1,1,250
ROPES & GRAY,ROPES & GRAY,ROPES & GRAY,1,1,500
ROSEDALE ANIMAL HOSPITAL,ROSEDALE ANIMAL HOSPITAL,ROSEDALE ANIMAL HOSPITAL,1,1,50
ROSENBERG MARTIN GREENBERG LLP,ROSENBERG MARTIN GREENBERG LLP,ROSENBERG MARTIN GREENBERG LLP,1,1,250
ROSS INSURANCE AGENCY,ROSS INSURANCE AGENCY,M&T INSURANCE AGENCY,1,1,500
ROTHWELL FIGG,ROTHWELL FIGG,ROTHWELL FIGG,1,1,3300
ROURKE & ROSENBERG,ROURKE & ROSENBERG,ROURKE & ROSENBERG,1,1,10
ROWE ELECTRIC INC.,ROWE ELECTRIC INC.,ROWE ELECTRIC INC.,1,1,2500
ROWNY CAPITAL,ROWNY CAPITAL,ROWNY CAPITAL,1,1,5250
ROYAL CARIBBEAN GROUP,ROYAL CARIBBEAN GROUP,ROYAL CARIBBEAN GROUP,1,1,1000
RPD ENERGY,RPD ENERGY,RPD ENERGY,1,1,2500
RRR AUTOMOTIVE GROUP,RRR AUTOMOTIVE GROUP,RRR AUTOMOTIVE GROUP,1,1,2000
RSC,RSC,RSC,1,1,2099.89
"RSM US, LLP","RSM US, LLP","RSM US, LLP",1,1,150
RSSI,RSSI,RSSI,1,1,150
RST DEVELOPEMENT LLC,RST DEVELOPEMENT LLC,RST DEVELOPEMENT LLC,1,1,5800
RST DEVELOPMENT,RST DEVELOPEMENT LLC,RST DEVELOPEMENT LLC,1,1,300
RTI INTERNATIONAL,RTI INTERNATIONAL,RTI INTERNATIONAL,1,1,100
RTO INSIDER LLC,RTO INSIDER LLC,RTO INSIDER LLC,1,1,250
RTX CORPORATION,RTX CORPORATION,RTX CORPORATION,1,1,800
RUCK FUNERAL HOME,RUCK FUNERAL HOME,RUCK FUNERAL HOME,1,1,1000
RULE4 LLC,RULE4 LLC,RULE4 LLC,1,1,300
RUMEZ INTERNATIONAL,RUMEZ INTERNATIONAL,RUMEZ INTERNATIONAL,1,1,250
RUSTY PALMER INC,RUSTY PALMER INC,RUSTY PALMER INC,1,1,1000
RUSTY PALMER'S DEALERSHIP,RUSTY PALMER'S DEALERSHIP,RUSTY PALMER'S DEALERSHIP,1,1,2000
RUTH JACOBS,RUTH JACOBS,RUTH JACOBS,1,1,250
"RYAN MACKINNON VASAPOLI & BERZOK, LLP","RYAN MACKINNON VASAPOLI & BERZOK, LLP","RYAN MACKINNON VASAPOLI & BERZOK, LLP",1,1,500
S & S FLOORING,S & S FLOORING,S & S FLOORING,1,1,5000
S-3,S-3,S-3,1,1,3300
S.E. LITERATURE SALES,S.E. LITERATURE SALES,S.E. LITERATURE SALES,1,1,350
S.T.A. INC.,S.T.A. INC.,S.T.A. INC.,1,1,206.14999999999998
S3,S-3,S-3,1,1,3300
SAA ARCHITECTURE LLC,SAA ARCHITECTURE LLC,SAA ARCHITECTURE LLC,1,1,208.2
SAFER PUBLIC HEALTH LLC,SAFER PUBLIC HEALTH LLC,SAFER PUBLIC HEALTH LLC,1,1,3300
SAFETY FIRST DRIVING SCHOOL,SAFETY FIRST DRIVING SCHOOL,SAFETY FIRST DRIVING SCHOOL,1,1,164
SAINT MARYS COUNTY PUBLIC SCHOOLS,SAINT MARYS COUNTY PUBLIC SCHOOLS,SAINT MARYS COUNTY PUBLIC SCHOOLS,1,1,175
SAKS JANDEL,SAKS JANDEL,SAKS JANDEL,1,1,1000
SAKURA CONSERVATION STRATEGIES,SAKURA CONSERVATION STRATEGIES,SAKURA CONSERVATION STRATEGIES,1,1,1250
SAKURA JAPANESE STEAKHOUSE,SAKURA JAPANESE STEAKHOUSE,SAKURA JAPANESE STEAKHOUSE,1,1,6600
SALISBURY UNIVERSITY,SALISBURY UNIVERSITY,SALISBURY UNIVERSITY,1,1,250
SALLIE MAE CORP,SALLIE MAE CORP,SALLIE MAE CORP,1,1,2000
SALOP ECONOMICS INC,SALOP ECONOMICS INC,SALOP ECONOMICS INC,1,1,6600
SALSAM LLC,SALSAM LLC,SALSAM LLC,1,1,1000
SALTZMAN & EVINC PLLC,SALTZMAN & EVINC PLLC,SALTZMAN & EVINC PLLC,1,1,5000
SAMARITAN INNS,SAMARITAN INNS,SAMARITAN INNS,1,1,100
SAMKEI & ASSOCIATES LLC,SAMKEI & ASSOCIATES LLC,SAMKEI & ASSOCIATES LLC,1,1,250
SAMSON PROPERTIES,SAMSON PROPERTIES,SAMSON PROPERTIES,1,1,250
SAMUEL SHOGE,SAMUEL SHOGE,SAMUEL SHOGE,1,1,100
SANDOW CONSTRUCTION & ABATEMENT INC,SANDOW CONSTRUCTION & ABATEMENT INC,SANDOW CONSTRUCTION & ABATEMENT INC,1,1,250
SANDY AUDIO VISUAL,SANDY AUDIO VISUAL,SANDY AUDIO VISUAL,1,1,250
SANDY SPRING,SANDY SPRING,SANDY SPRING,1,1,500
SAO FOR ANNE ARUNDEL COUNTY,SAO FOR ANNE ARUNDEL COUNTY,SAO FOR ANNE ARUNDEL COUNTY,1,1,250
SAP PUBLIC SERVICES INC,SAP PUBLIC SERVICES INC,SAP PUBLIC SERVICES INC,1,1,1000
SAPIENT,SAPIENT,SAPIENT,1,1,260.25
SARATOGA HEYL INSURANCE,SARATOGA HEYL INSURANCE,SARATOGA HEYL INSURANCE,1,1,1000
SARC,SARC,SARC,1,1,45
"SAUL EWING ARNSTEIN & LEHR, LLP","SAUL EWING ARNSTEIN & LEHR, LLP","SAUL EWING ARNSTEIN & LEHR, LLP",1,1,1000
"SAUL EWING, LLP","SAUL EWING, LLP","SAUL EWING, LLP",1,1,50
SAVAL FOODS CORPORATION,SAVAL FOODS CORPORATION,SAVAL FOODS CORPORATION,1,1,1000
SAVAL FOODSERVICE,SAVAL FOODSERVICE,SAVAL FOODSERVICE,1,1,200
SAVILLS,SAVILLS,SAVILLS,1,1,25
SAWYER REAL ESTATE LLC,SAWYER REAL ESTATE LLC,SAWYER REAL ESTATE LLC,1,1,500
SAXONS,SAXONS,SAXONS,1,1,208.2
SB & COMPANY LLC,SB & COMPANY LLC,SB & COMPANY LLC,1,1,1000
SB LAW PLLC,SB LAW PLLC,SB LAW PLLC,1,1,100
SBARRO LLC,SBARRO LLC,SBARRO LLC,1,1,3300
SBGI,SBGI,SBGI,1,1,100
SCB MANAGEMENT SOLUTIONS INC,SCB MANAGEMENT SOLUTIONS INC,SCB MANAGEMENT SOLUTIONS INC,1,1,500
SCHAERR JAFFE,SCHAERR JAFFE,SCHAERR JAFFE,1,1,1500
SCHINDLER COHEN & HOCHMAN LLP,SCHINDLER COHEN & HOCHMAN LLP,SCHINDLER COHEN & HOCHMAN LLP,1,1,250
SCHRAYER & ASSOCIATES,SCHRAYER & ASSOCIATES,SCHRAYER & ASSOCIATES,1,1,500
SCHRAYER & ASSOCIATES INC,SCHRAYER & ASSOCIATES INC,SCHRAYER & ASSOCIATES,1,1,250
SCHUH ADVISORY LLC,SCHUH ADVISORY LLC,SCHUH ADVISORY LLC,1,1,3300
SCHUSTERMAN,SCHUSTERMAN,SCHUSTERMAN,1,1,500
SCHUSTERMAN FAMILY FOUNDATION,SCHUSTERMAN FAMILY FOUNDATION,SCHUSTERMAN FAMILY FOUNDATION,1,1,500
SCI,SCI,SCI,1,1,475
SCI INC,SCI INC,SCI INC,1,1,750
SCIENCE TECH. CORP.,SCIENCE TECH. CORP.,SCIENCE TECH. CORP.,1,1,250
"SCIENTIFIC COORDINATION, INC.","SCIENTIFIC COORDINATION, INC.","SCIENTIFIC COORDINATION, INC.",1,1,90
SCIENTIFIC SYSTEMS,SCIENTIFIC SYSTEMS,SCIENTIFIC SYSTEMS,1,1,250
SCLALE LLP,SCLALE LLP,SCLALE LLP,1,1,6600
SCMIDT BAKING COMPANY,SCMIDT BAKING COMPANY,SCMIDT BAKING COMPANY,1,1,300
SCN PROPERTIES,SCN PROPERTIES,SCN PROPERTIES,1,1,500
SCN PROPERTIES LLC,SCN PROPERTIES,SCN PROPERTIES,1,1,150
SCOTT NAWY LLC,SCOTT NAWY LLC,SCOTT NAWY LLC,1,1,1000
SDA,SDA,SDA,1,1,1600
SEACORP,SEACORP,SEACORP,1,1,1000
SEAMLESS CARE MODELS GROUP,SEAMLESS CARE MODELS GROUP,SEAMLESS CARE MODELS GROUP,1,1,250
SEAWALL DEVELOPMENT CO,SEAWALL DEVELOPMENT CO,SEAWALL DEVELOPMENT CO,1,1,750
SEC,SEC,SEC,1,1,950
SECURE MEDICAL CARE,SECURE MEDICAL CARE,SECURE MEDICAL CARE,1,1,250
SECURITIES & EXCHANGE COMMISSION,SECURITIES & EXCHANGE COMMISSION,SECURITIES & EXCHANGE COMMISSION,1,1,6600
SECURITY DEVELOPMENT LLC,SECURITY DEVELOPMENT LLC,SECURITY DEVELOPMENT LLC,1,1,1000
SECURITY INDUSTRY ASSOCIATION,SECURITY INDUSTRY ASSOCIATION,SECURITY INDUSTRY ASSOCIATION,1,1,250
SECURITY INNOVATIONS,SECURITY INNOVATIONS,SECURITY INNOVATIONS,1,1,140
SEEKING EMPLOYMENT EQUALITY & COMMUNIT,SEEKING EMPLOYMENT EQUALITY & COMMUNIT,SEEKING EMPLOYMENT EQUALITY & COMMUNIT,1,1,500
SEEKING EMPLOYMENT EQUALITY AND COMMUN,SEEKING EMPLOYMENT EQUALITY & COMMUNIT,SEEKING EMPLOYMENT EQUALITY & COMMUNIT,1,1,250
SEFL,SEFL,SEFL,1,1,1100
"SEIBERT ACRES, LLC","SEIBERT ACRES, LLC","SEIBERT ACRES, LLC",1,1,120
SEIU,SEIU,SEIU,1,1,250
SEIU LOCAL 400 PG,SEIU LOCAL 400 PG,SEIU LOCAL 400 PG,1,1,218.5
SEIU LOCAL 400PG,SEIU LOCAL 400 PG,SEIU LOCAL 400 PG,1,1,53
SELECTIVE HOUSE PUBLISHERS INC.,SELECTIVE HOUSE PUBLISHERS INC.,SELECTIVE HOUSE PUBLISHERS INC.,1,1,200
SELF (JKW ASSOCIATES LLC),SELF (JKW ASSOCIATES LLC),SELF (JKW ASSOCIATES LLC),1,1,250
SELF EMPLOYED INVESTOR,SELF EMPLOYED INVESTOR,SELF EMPLOYED INVESTOR,1,1,6600
SELF EMPLOYED/BOCCA,SELF EMPLOYED/BOCCA,SELF EMPLOYED/BOCCA,1,1,45
SELF HILARY DICK CONSULTING LLC,SELF HILARY DICK CONSULTING LLC,SELF HILARY DICK CONSULTING LLC,1,1,200
SELF STORAGE ZONE,SELF STORAGE ZONE,SELF STORAGE ZONE,1,1,500
SELF/BOCCA,SELF/BOCCA,SELF/BOCCA,1,1,100
SEMMES BOWEN & SEMMES,SEMMES BOWEN & SEMMES,SEMMES BOWEN & SEMMES,1,1,500
SEMPER VALENS SOLUTIONS,SEMPER VALENS SOLUTIONS,SEMPER VALENS SOLUTIONS,1,1,750
SEMPER VALES SOULTION,SEMPER VALES SOULTION,SEMPER VALES SOULTION,1,1,150
SENATE,SENATE,SENATE,1,1,200
SENATOR BEN CARDIN,SENATOR BEN CARDIN,SENATOR BEN CARDIN,1,1,500
SENATOR MIKE BRAUN,SENATOR MIKE BRAUN,SENATOR MIKE BRAUN,1,1,350
SENSORSTAR,SENSORSTAR,SENSORSTAR,1,1,180
SEQUOIA MINISTRIES INC,SEQUOIA MINISTRIES INC,SEQUOIA MINISTRIES INC,1,1,1000
SEQUOR LAW P.A.,SEQUOR LAW P.A.,SEQUOR LAW P.A.,1,1,1000
SERIGOR INC,SERIGOR INC,SERIGOR INC,1,1,250
SERRA SIPPEL STRATEGIES,SERRA SIPPEL STRATEGIES,SERRA SIPPEL STRATEGIES,1,1,560.46
SERRA SIPPEL STRATEGIES LLC,SERRA SIPPEL STRATEGIES,SERRA SIPPEL STRATEGIES,1,1,200
SERVICENOW,SERVICENOW,SERVICENOW,1,1,250
SERVICENOW INC,SERVICENOW INC,SERVICENOW,1,1,250
SERVICES,SERVICES,SERVICENOW,1,1,363
SEVEN LETTER,SEVEN LETTER,SEVEN LETTER,1,1,500
SEWARD & KISSEL LLP,SEWARD & KISSEL LLP,SEWARD & KISSEL LLP,1,1,200
SGT INC,SGT INC,SGT INC,1,1,100
SHADY GROVE FERTILITY,SHADY GROVE FERTILITY,SHADY GROVE FERTILITY,1,1,1500
SHAH AND KISHORE,SHAH AND KISHORE,SHAH AND KISHORE,1,1,500
SHAH DERMATOLOGY MARYLAND LLC,SHAH DERMATOLOGY MARYLAND LLC,SHAH DERMATOLOGY MARYLAND LLC,1,1,1150
SHALOM TIKVAH,SHALOM TIKVAH,SHALOM TIKVAH,1,1,3300
SHAPIRO  DUNCAN INC,SHAPIRO  DUNCAN INC,SHAPIRO  DUNCAN INC,1,1,3300
SHARON WILKES LLC,SHARON WILKES LLC,SHARON WILKES LLC,1,1,250
"SHARON WILKES, LLC",SHARON WILKES LLC,SHARON WILKES LLC,1,1,250
SHASHO CONSULTING P.A,SHASHO CONSULTING P.A,SHASHO CONSULTING P.A,1,1,2041.02
SHASHO CONSULTING PA,SHASHO CONSULTING P.A,SHASHO CONSULTING P.A,1,1,1000
SHATTER FUND,SHATTER FUND,SHATTER FUND,1,1,500
SHE SAID / SHE SAID MEDIA,SHE SAID / SHE SAID MEDIA,SHE SAID / SHE SAID MEDIA,1,1,3300
SHEARMAN & STERLING LLP,SHEARMAN & STERLING LLP,SHEARMAN & STERLING LLP,1,1,1000
SHEEHY AUTO STORES,SHEEHY AUTO STORES,SHEEHY AUTO STORES,1,1,1000
SHENANIGANS INC,SHENANIGANS INC,SHENANIGANS INC,1,1,1000
SHEPPARD MULLIN RICHTER & HAMPTON LLP,SHEPPARD MULLIN RICHTER & HAMPTON LLP,SHEPPARD MULLIN RICHTER & HAMPTON LLP,1,1,500
SHEPPARD PRATT,SHEPPARD PRATT,SHEPPARD PRATT,1,1,500
SHEPPARD PRATT H.S.,SHEPPARD PRATT H.S.,SHEPPARD PRATT H.S.,1,1,750
SHIELD VITAMINS,SHIELD VITAMINS,SHIELD VITAMINS,1,1,1000
SHIFT4,SHIFT4,SHIFT4,1,1,200
SHIPLEY LAW FIRM,SHIPLEY LAW FIRM,SHIPLEY LAW FIRM,1,1,1000
SHOOTERS SPORTS,SHOOTERS SPORTS,SHOOTERS SPORTS,1,1,100
SHOREGATE PARTNERS,SHOREGATE PARTNERS,SHOREGATE PARTNERS,1,1,250
SHORERIVERS INC,SHORERIVERS INC,SHORERIVERS INC,1,1,330
SHOWCALL INC.,SHOWCALL INC.,SHOWCALL INC.,1,1,260.25
SHRM,SHRM,SHRM,1,1,228
SIBLEY HOSPITAL,SIBLEY HOSPITAL,SIBLEY HOSPITAL,1,1,250
SIDLEY AUSTIN,SIDLEY AUSTIN,SIDLEY AUSTIN,1,1,925
SIDLEY AUSTIN L.L.P.,SIDLEY AUSTIN L.L.P.,SIDLEY AUSTIN L.L.P.,1,1,400
SIFMA,SIFMA,SIFMA,1,1,5000
SIGNATURE BOOK PRINTING,SIGNATURE BOOK PRINTING,SIGNATURE BOOK PRINTING,1,1,300
"SIGNTEX, INC","SIGNTEX, INC","SIGNTEX, INC",1,1,625
SILVER SPRING PEDIATRICS,SILVER SPRING PEDIATRICS,SILVER SPRING PEDIATRICS,1,1,400
SILVER TRIDENT,SILVER TRIDENT,SILVER TRIDENT,1,1,3300
SIMMONS LETTRE CONSULTING LLC,SIMMONS LETTRE CONSULTING LLC,SIMMONS LETTRE CONSULTING LLC,1,1,3300
SIMPLEX STRUCTURES LLC,SIMPLEX STRUCTURES LLC,SIMPLEX STRUCTURES LLC,1,1,1000
SIMPSON THACHER  BARTLETT LLP,SIMPSON THACHER  BARTLETT LLP,SIMPSON THACHER  BARTLETT LLP,1,1,1000
SINCLAIR BROADCAST GROUP,SINCLAIR BROADCAST GROUP,SINCLAIR BROADCAST GROUP,1,1,2000
SINGH MEDICAL,SINGH MEDICAL,SINGH MEDICAL,1,1,1000
SIR SOLAR AND STORAGE INTERNATIONAL,SIR SOLAR AND STORAGE INTERNATIONAL,SIR SOLAR AND STORAGE INTERNATIONAL,1,1,500
